,Player_Name,Player_LastName,Club,Position,Foot,known_name,sics_id,opta_id,sc_id,first_name,last_name,born_date
45,Diego,Falcinelli ,BOLOGNA,Centre-Forward,left,FALCINELLI D.,6785,76100,2701,DIEGO,FALCINELLI,1991-06-26
46,Aaron,Hickey  ,BOLOGNA,Left-Back,both,HICKEY A.,23978,472713,25002,AARON,HICKEY,2002-06-10
47,Denso,Kasius  ,BOLOGNA,Right-Back,right,KASIUS D.,30826,498481,38007,DENSO,KASIUS,2002-10-06
48,Ibrahima,Mbaye ,BOLOGNA,Right-Back,right,MBAYE I.,6095,119908,4402,IBRAHIMA,MBAYE,1994-11-19
49,Gary,Medel ,BOLOGNA,Defensive Midfield,right,MEDEL G.,6107,48853,3768,GARY,MEDEL,1987-08-03
50,Kingsley,Michael ,BOLOGNA,Central Midfield,right,MICHAEL K.,16910,218324,19811,KINGSLEY,MICHAEL,1999-08-26
51,Riccardo,Orsolini ,BOLOGNA,Right Winger,left,ORSOLINI R.,10752,223966,14048,RICCARDO,ORSOLINI,1997-01-24
52,Niklas,PyyhtiA ,BOLOGNA,Central Midfield,left,PYYHTIA N.,30652,492253,64755,NIKLAS,PYYHTIA,2003-09-25
53,Antonio,Raimondo ,BOLOGNA,Centre-Forward,left,RAIMONDO A.,26264,538734,47533,ANTONIO,RAIMONDO,2004-03-18
54,Nicola,Sansone ,BOLOGNA,Left Winger,right,SANSONE N.,6258,81033,7985,NICOLA,SANSONE,1991-09-10
55,Federico,Santander ,BOLOGNA,Centre-Forward,right,SANTANDER F.,13874,78109,3348,FEDERICO,SANTANDER,1991-06-04
56,Jerdy,Schouten ,BOLOGNA,Defensive Midfield,right,SCHOUTEN J.,20888,230152,19024,JERDY,SCHOUTEN,1997-01-12
57,Lukasz,Skorupski ,BOLOGNA,Goalkeeper,right,SKORUPSKI L.,6966,85288,6494,LUKASZ,SKORUPSKI,1991-05-05
58,Andreas,Skov Olsen,BOLOGNA,Right Midfield,left,SKOV OLSEN A.,20254,430368,16470,ANDREAS,SKOV OLSEN,1999-12-29
59,Roberto,Soriano ,BOLOGNA,Attacking Midfield,right,SORIANO R.,6296,59920,9145,ROBERTO,SORIANO,1991-02-08
60,Adama,Soumaoro ,BOLOGNA,Centre-Back,right,SOUMAORO A.,22439,103155,217,ADAMA,SOUMAORO,1992-06-18
61,Riccardo,Stivanello ,BOLOGNA,Centre-Back,right,STIVANELLO R.,30028,565562,101514,RICCARDO,STIVANELLO,2004-04-24
62,Mattias,Svanberg ,BOLOGNA,Central Midfield,right,SVANBERG M.,16856,210912,14056,MATTIAS,SVANBERG,1999-01-05
63,Arthur,Theate ,BOLOGNA,Centre-Back,left,THEATE A.,26708,465189,32269,ARTHUR,THEATE,2000-05-25
64,Takehiro,Tomiyasu ,BOLOGNA,Right-Back,right,TOMIYASU T.,20492,223723,14601,TAKEHIRO,TOMIYASU,1998-11-05
65,Kacper,Urbanski ,BOLOGNA,Defensive Midfield,right,URBANSKI K.,26263,500922,30798,KACPER,URBANSKI,2004-09-07
66,Sydney,van Hooijdonk,BOLOGNA,Centre-Forward,right,VAN HOOIJDONK S.,26516,459655,14346,SYDNEY,VAN HOOIJDONK,2000-02-06
67,Emanuel,Vignato ,BOLOGNA,Right Winger,right,VIGNATO E.,13715,244290,14119,EMANUEL,VIGNATO,2000-08-24
